company_name,sector,city,funding_round,funding_amount,lead_investor,funding_date,founded_year
VistaarCloud,Mobility,Noida,Seed,$26.45M,Sequoia Capital India,09/01/2020,2021
MeruFoods,Fintech, Bengaluru ,Bridge,"₹301,900,000",Nexus Venture Partners,Jun 2022,2016
AmritHealth,HealthTech,Mumbai,Seed,"₹387,500,000",3one4 Capital,Jul 2019,2017
VrikshaLearn,Gaming,Gurugram,Pre-Seed,$50.83M,Undisclosed investor(s),2019-01-26,2022
SahajCommerce,AgriTech,Hyderabad,Series A,,Tiger Global,25-11-2021,2012
primefintech,CleanTech,bengaluru,Series B,"₹389,800,000",Chiratae Ventures,08/11/2019,2018
PrimeRetail,EdTech, Bengaluru ,Angel,Rs. 3372 Lakh,Kalaari Capital,10-08-2018,2010
setufoods,Gaming,Hyderabad,Series D,$23.77M,3one4 Capital,May 2023,2017
KalpaLearn,, Bengaluru ,Series A,Rs. 2284 Lakh,3one4 Capital,Feb 2022,2017
NeoRetail,SaaS,Ahmedabad,Series B,$47.95M,Peak XV Partners,08-11-2021,2010
SARALMART,SaaS,Delhi NCR,Angel,"₹70,600,000",Chiratae Ventures,17-01-2022,2018
TrishulMobility,Logistics,,Series A,"₹343,900,000",Lightspeed India,2018-03-06,
NimbusCommerce,,Pune,Series C,"₹138,200,000",Accel,22-09-2023,2018
VrikshaCommerce,E-commerce,Bengaluru,Seed,Undisclosed,Undisclosed investor(s),Feb 2024,2018
SetuWorks,CleanTech,Bengaluru,Bridge,"₹90,200,000",Nexus Venture Partners,18/07/2024,2022
KrantiAgri,AgriTech,bengaluru,Series B,"₹30,900,000",Blume Ventures,11-07-2023,2011
NimbusLogistics,HealthTech,Gurugram,Seed,$36.69M,Chiratae Ventures,25 February 2019,2023
KalpaCloud,Mobility,bengaluru,Series C,$26.17M,Undisclosed investor(s),2018-11-29,2013
udaanlearn,,Mumbai,Angel,Rs. 4549 Lakh,Chiratae Ventures,30-07-2022,
nimbuslabs,,Delhi NCR,Seed,$53.84M,Nexus Venture Partners,Jun 2020,2019
NimbusMart,Logistics,Hyderabad,Bridge,"₹268,200,000",Matrix Partners,02/04/2022,
SaralFintech,Fintech,Chennai,Series B,Rs. 2094 Lakh,Peak XV Partners,26 February 2019,2020
DhruvTech,Logistics,Bengaluru,Seed,$49.1 million,Blume Ventures,31 July 2020,2022
VistaarCommerce,D2C,Hyderabad,Angel,"₹162,100,000",Kalaari Capital,Aug 2024,2016
VrikshaPay,Fintech,Hyderabad,Series D,"₹317,400,000",Matrix Partners,04-11-2020,2015
TarangCloud,CleanTech,Chennai,Bridge,Rs. 898 Lakh,,2023-08-26,2019
SetuMobility,FoodTech,Noida,Series B,$42.22M,Chiratae Ventures,24-07-2023,2015
ChakraCommerce,EdTech,Noida,Series C,"₹247,500,000",Undisclosed investor(s),25-09-2024,2022
LokaCloud,,Chennai,Pre-Seed,"₹189,300,000",Accel,28/02/2020,2011
KrantiRobotics,EdTech,Gurugram,Pre-Seed,$32.25M,Nexus Venture Partners,26 April 2021,2012
VahanFoods,CleanTech,Delhi NCR,Series A,"₹61,100,000",Kalaari Capital,Dec 2019,2011
KalpaWorks,SaaS,Mumbai,Pre-Seed,"₹65,200,000",Matrix Partners,17/12/2022,2021
VEGAAGRI,CleanTech,Gurugram,Series B,"₹283,500,000",Lightspeed India,May 2021,2021
SaralFoods,CleanTech,Bengaluru,Series B,Rs. 4599 Lakh,Matrix Partners,14 May 2023,2016
LokaCommerce,Mobility,Ahmedabad,Series C,Rs. 2369 Lakh,Accel,02 May 2022,2017
YatraMobility,CleanTech,Bengaluru,Angel,Undisclosed,Chiratae Ventures,Jul 2019,2013
